Borough,Names,Median Age 2011,Population Density (persons per sq km) 2011,No people in household have English as a main language 2011,All Households 2011,Mean Modelled Household income (£) 2012/13,Economically active: % Unemployed 2011,% No qualifications 2011,Rates children (0-18) living in Out-of-work Benefit Claimant Households 2011,Total crime (numbers) 2011,Total Crime Rate 2011,Drugs Crime Total Number 2011,% People with Bad or Very Bad Health 2011,% area that is greenspace 2012
Ealing,Acton Central,33,8583.3,1318,6266,46260,8.1,14.3,26.5,1503,97.3,122,5.3,24.2
Ealing,Cleveland,35,6636.4,863,5714,53560,7.9,13.1,23.9,793,54.3,50,4.8,34.8
Ealing,Dormers Wells,32,6065.2,1251,4300,37130,12.1,23.5,27.2,1125,80.6,82,6.3,47.3
Ealing,Ealing Broadway,34,7394.7,1149,6184,59190,6.0,7.3,10.8,2298,163.6,111,4.0,6.1
Ealing,Ealing Common,35,6690.5,901,5857,56300,7.0,10.8,21.0,1264,90.0,72,4.3,22.2
Ealing,East Acton,31,4360.5,1584,7065,41590,9.3,15.0,32.7,2691,143.5,142,5.1,19.6
Ealing,Elthorne,34,7300.0,1019,6044,49650,7.9,15.1,23.0,1459,99.9,109,4.7,34.2
Ealing,Greenford Broadway,32,7080.0,1408,6342,38540,10.6,21.9,27.4,1856,104.9,109,5.5,26.2
Ealing,Greenford Green,34,4235.3,1093,4994,44830,7.8,17.8,14.4,1148,79.7,52,4.5,22.6
Ealing,Hanger Hill,35,4727.3,1456,6130,58010,6.4,9.2,12.2,1091,69.9,39,3.5,26.7
Ealing,Hobbayne,35,6477.3,907,5287,45900,8.0,18.2,20.8,903,63.4,54,5.2,36.1
Ealing,Lady Margaret,33,9300.0,1000,3964,41060,9.8,19.8,17.0,862,61.8,59,5.0,19.4
Ealing,Northfield,36,9033.3,585,5256,63700,4.7,8.7,8.6,659,48.6,33,3.3,25.6
Ealing,North Greenford,34,4609.4,1076,4864,46250,7.7,16.9,15.4,971,65.8,59,4.1,53.3
Ealing,Northolt Mandeville,33,5428.6,1084,5571,40330,9.6,21.5,27.6,1359,89.4,122,4.7,34.4
Ealing,Northolt West End,32,4328.6,1043,5622,36170,13.0,25.1,30.9,1653,109.1,81,5.9,56.3
Ealing,Norwood Green,33,3697.4,1070,4172,36730,14.7,21.8,29.0,1664,118.4,167,7.2,47.6
Ealing,Perivale,34,4529.4,1422,5316,45650,7.6,17.4,15.6,1317,85.5,34,4.3,38.3
Ealing,South Acton,33,8764.7,1406,6011,43350,9.6,16.2,31.3,1581,106.1,125,6.8,17.5
Ealing,Southall Broadway,32,8406.3,1300,3615,35440,12.8,23.8,20.9,2059,153.1,225,7.0,14.1
Ealing,Southall Green,30,9125.0,1499,4082,34530,13.7,23.6,25.9,1448,99.2,237,6.0,16.3
Ealing,Southfield,36,9642.9,637,5939,66360,4.9,9.0,14.2,974,72.1,70,3.7,14.3
Ealing,Walpole,35,8900.0,776,5487,60250,5.6,10.2,10.9,1362,102.0,140,3.6,20.1
Enfield,Bowes,33,9400.0,1281,5507,45290,8.9,16.7,23.2,791,56.1,45,5.4,15.3
Enfield,Bush Hill Park,40,5600.0,423,5464,52700,6.7,20.4,15.2,782,55.9,28,4.6,29.6
Enfield,Chase,36,819.5,396,5640,45360,9.1,22.4,26.3,737,53.2,52,5.8,81.5
Enfield,Cockfosters,39,1331.7,496,5215,55190,7.9,19.0,14.7,782,56.5,28,4.7,68.8
Enfield,Edmonton Green,30,5822.6,1479,6899,32940,17.0,30.5,37.7,2075,115.0,200,6.8,33.2
